	ag	test type	repl	loss	acc	recall	prec	f1
152	1FBI	open	2	0.10996123403310776	0.9651700680272108	0.9785034013605443	0.9530877285979327	0.9656283566058003
153	1FBI	closed	2	0.0863976925611496	0.9697835851367905	0.9785034013605443	0.9617544798074351	0.9700566495818721
154	1FBI	open	6	0.10729173570871353	0.9643537414965987	0.9736054421768707	0.9559177130643869	0.9646805068751685
155	1FBI	closed	6	0.08900503814220428	0.9683544303797469	0.9736054421768707	0.9635115120506261	0.9685321783853286
156	1FBI	open	9	0.10399727523326874	0.9667346938775511	0.976326530612245	0.9579495394473369	0.9670507378209016
157	1FBI	closed	9	0.08859866857528687	0.9693072002177759	0.976326530612245	0.9628337582181672	0.9695332027291765
158	1FBI	open	8	0.18409040570259094	0.942108843537415	0.9729251700680273	0.9164423939510444	0.9438395037286347
159	1FBI	closed	8	0.11141771823167801	0.9619572614672656	0.9729251700680273	0.9520702968978831	0.9623847654935738
160	2YPV	open	2	0.8446064591407776	0.7771428571428571	0.9374149659863945	0.7098701833917165	0.8079268292682927
161	2YPV	closed	2	0.165005162358284	0.9392268953314278	0.9374149659863945	0.9408712276389458	0.9391399168540857
162	2YPV	open	6	0.8756586909294128	0.7927891156462585	0.944625850340136	0.7245877687330411	0.8201039451925348
163	2YPV	closed	6	0.16891562938690186	0.9382741254933986	0.944625850340136	0.9328227865108155	0.9386872169269249
164	2YPV	open	7	0.8546481132507324	0.7731972789115646	0.9287074829931973	0.7083852220838522	0.8037207111739079
165	2YPV	closed	7	0.17417067289352417	0.9350755410371581	0.9287074829931973	0.9407386990077178	0.9346843762837189
166	2YPV	open	3	0.8499727845191956	0.7749659863945578	0.9435374149659864	0.7056369556369556	0.8074281057166143
167	2YPV	closed	3	0.17175300419330597	0.9367088607594937	0.9435374149659864	0.9308724832214765	0.9371621621621621
168	2YPV	open	8	0.8320205807685852	0.7872108843537415	0.9370068027210884	0.721000837520938	0.8149331440066264
169	2YPV	closed	8	0.16934934258460999	0.9358241459098952	0.9370068027210884	0.9348445771684539	0.9359244411225113
170	2YPV	open	9	0.7880002856254578	0.7784353741496599	0.9395918367346939	0.7105669307541929	0.8091862440681937
171	2YPV	closed	9	0.17571395635604858	0.9331700013610997	0.9395918367346939	0.9277270284793122	0.9336217385426524
172	2YPV	open	10	1.1168159246444702	0.7737414965986394	0.9427210884353742	0.7045962985560301	0.806447858472998
173	2YPV	closed	10	0.17830611765384674	0.9363685858173404	0.9427210884353742	0.9309418245331184	0.9367944297978774
174	2YPV	open	4	0.8350894451141357	0.7818367346938776	0.9326530612244898	0.7165255566008153	0.8104273807412662
175	2YPV	closed	4	0.1758236289024353	0.9322852865115013	0.9326530612244898	0.9320190346702923	0.9323359401564094
176	2YPV	open	1	0.822462797164917	0.7765986394557823	0.9393197278911565	0.7086840484500103	0.807863327872689
177	2YPV	closed	1	0.1672920286655426	0.9377977405743841	0.9393197278911565	0.9365165491047206	0.9379160440157588
178	2YPV	open	5	0.9325743317604065	0.7993877551020409	0.9431292517006803	0.7325372503434429	0.824600011895557
179	2YPV	closed	5	0.17205914855003357	0.9377977405743841	0.9431292517006803	0.93322563274098	0.9381513059953985
180	1OB1	open	9	0.20277142524719238	0.9356462585034013	0.966530612244898	0.9103024090210149	0.9375742378249967
181	1OB1	closed	9	0.14983180165290833	0.9467809990472301	0.966530612244898	0.9298429319371728	0.9478318879252836
182	1OB1	open	8	0.24199804663658142	0.9187074829931973	0.9473469387755102	0.896023677776348	0.9209708352622181
183	1OB1	closed	8	0.15546521544456482	0.9439226895331427	0.9473469387755102	0.9409459459459459	0.9441355932203389
184	1OB1	open	7	0.26669245958328247	0.9147619047619048	0.9565986394557823	0.8827369742623979	0.918184786157362
185	1OB1	closed	7	0.15251560509204865	0.9443310194637267	0.9565986394557823	0.9337317397078353	0.9450268817204301
186	1OB1	open	3	0.30394285917282104	0.8905442176870748	0.9461224489795919	0.8514754499816334	0.8963072758909584
187	1OB1	closed	3	0.17660723626613617	0.9326255614536546	0.9461224489795919	0.9213036565977742	0.9335481272654049
188	1OB1	open	2	0.25211766362190247	0.9213605442176871	0.957687074829932	0.8928209030948757	0.9241171064723644
189	1OB1	closed	2	0.1461252123117447	0.9483462637811352	0.957687074829932	0.9401629491117938	0.9488441059513378
190	1OB1	open	6	0.28506365418434143	0.9076190476190477	0.9436734693877551	0.8802030456852792	0.910833880499015
191	1OB1	closed	6	0.16042982041835785	0.9422893698108071	0.9436734693877551	0.941112618724559	0.9423913043478261
192	1OB1	open	1	0.26097485423088074	0.912108843537415	0.9568707482993197	0.8782467532467533	0.9158744628206797
193	1OB1	closed	1	0.16328872740268707	0.9393630053082891	0.9568707482993197	0.924543183909557	0.940429230460654
194	1OB1	open	5	0.23405037820339203	0.9224489795918367	0.9493877551020408	0.900852052672347	0.924483306836248
195	1OB1	closed	5	0.1462751030921936	0.9465768340819382	0.9493877551020408	0.9441212285211744	0.9467471677633811
196	1OB1	open	4	0.27210792899131775	0.9141496598639456	0.9540136054421768	0.8835685483870968	0.9174407954991495
197	1OB1	closed	4	0.1426977515220642	0.9465087790935075	0.9540136054421768	0.9399463806970509	0.9469277515192437
198	1OB1	open	10	0.16524985432624817	0.944625850340136	0.9527891156462585	0.9374832663989291	0.9450742240215925
199	1OB1	closed	10	0.1440361738204956	0.9473254389546754	0.9527891156462585	0.9425302826379542	0.9476319350473612
