,ag,test type,repl,loss,acc,recall,prec,f1
139,1ADQ,closed,10,0.08928743004798889,0.9725170068027211,0.9900680272108844,0.9564931650893796,0.9729910415830993
140,1FBI,open,2,0.8239707350730896,0.6715646258503402,0.9960544217687075,0.6040429042904291,0.7520287621982538
141,1FBI,closed,2,0.04725790396332741,0.986938775510204,0.9960544217687075,0.9782202030999465,0.9870567614938655
142,1FBI,open,6,0.8657076954841614,0.671156462585034,0.9941496598639455,0.6039841296081997,0.7514397367338543
143,1FBI,closed,6,0.061423320323228836,0.9834693877551021,0.9941496598639455,0.9733581990142534,0.9836440735007067
144,1FBI,open,8,0.8540853261947632,0.6641496598639456,0.9959183673469387,0.5986750633843134,0.747816315063595
145,1FBI,closed,8,0.0501386821269989,0.9856462585034014,0.9959183673469387,0.9758698840154646,0.9857922025452831
146,1FBI,open,4,0.82528156042099,0.6652380952380952,0.9964625850340136,0.5993943857926181,0.7485308395932343
147,1FBI,closed,4,0.04680771008133888,0.9868027210884354,0.9964625850340136,0.9775760811532301,0.9869289853119526
148,1FBI,open,1,0.8683802485466003,0.6682993197278911,0.9945578231292517,0.6018442285526099,0.749897414854329
149,1FBI,closed,1,0.06091906875371933,0.9836734693877551,0.9945578231292517,0.9733688415446072,0.9838492597577388
150,1FBI,open,10,0.8636289834976196,0.6538775510204081,0.9968707482993198,0.5912685603615235,0.7422753520413332
151,1FBI,closed,10,0.04731209576129913,0.9857142857142858,0.9968707482993198,0.9751131221719457,0.9858719052744886
152,1FBI,open,3,0.8584774136543274,0.6637414965986395,0.99578231292517,0.5983975145123048,0.7475614115724427
153,1FBI,closed,3,0.04941607266664505,0.9856462585034014,0.99578231292517,0.9759967995732765,0.9857902889083441
154,1FBI,open,7,0.8727303147315979,0.6612244897959184,0.9959183673469387,0.5965770171149144,0.746177370030581
155,1FBI,closed,7,0.05122322961688042,0.985578231292517,0.9959183673469387,0.9757398027192749,0.98572582817129
156,1FBI,open,9,0.8575639128684998,0.6669387755102041,0.9959183673469387,0.6006893156080748,0.7493857493857494
157,1FBI,closed,9,0.049342598766088486,0.98578231292517,0.9959183673469387,0.9761301506867582,0.9859249781130043
158,1FBI,open,5,0.8341233730316162,0.6639455782312925,0.9965986394557823,0.5984477124183006,0.7478305257784583
159,1FBI,closed,5,0.046574998646974564,0.9864625850340136,0.9965986394557823,0.9767969062541673,0.9865984241363055
160,2YPV,open,2,0.7362340092658997,0.685374149659864,0.9919727891156462,0.6149110230243738,0.7592023741344303
161,2YPV,closed,2,0.06384319067001343,0.9810884353741497,0.9919727891156462,0.9708388814913449,0.9812920592193809
162,2YPV,open,6,0.7880072593688965,0.672312925170068,0.9907482993197279,0.6052697198902834,0.7514576131262577
163,2YPV,closed,6,0.06792159378528595,0.9791836734693877,0.9907482993197279,0.9683510638297872,0.9794216543375924
164,2YPV,open,8,0.7477507591247559,0.6882312925170068,0.9896598639455783,0.6174348527289704,0.7604411687836495
165,2YPV,closed,8,0.06666165590286255,0.9794557823129252,0.9896598639455783,0.9698666666666667,0.9796632996632997
166,2YPV,open,4,0.7767336368560791,0.674625850340136,0.9919727891156462,0.6068248023304204,0.7530080041311644
